question,answer,image_urls
How do you talk to your daughter about her weight gain?,"Don't talk to her about weight gain. When I was a heavy tween, my mother (who didn't mean to hurt me, I know) always told me to suck in my stomach, and always compared me to girls who lost weight (""Have you seen how thin Sami is? You guys used to be the same size!""). Fast forward a few years, I lost weight, but could never stop feeling chubby, never mind the fact that I went down to a size 4 in high school. I spent a month in the hospital with pneumonia, and emerged weighing 110 pounds, which is nothing, considering I'm 5'8. I was stick-thin. And still, I felt chubby, even though I look at pictures and can't believe just how thin I looked. Unknowingly, my mother scarred me for life (no drama intended), and to this day I feel fat, no matter what size I wear. Instead, talk to her about habits. Encourage her to go outside, and to take up a sport. In fact, go for walks with her! If you guys have a dog, take it out for walks together. Make plans to go hiking, and to do other activities that involve any kind of physical effort. Make healthy food swaps in your home. Stop buying soda, or here's a nice little trick: make it a rule that whoever wants a glass of soda has to drink a glass of water first. 9 times out of 10, the soda won't be wanted anymore. Make sure you buy whole-wheat, high-fiber bread, and swap cookies and cereal full of sugar for healthier alternatives. And, above all, set the example. Your daughter knows she's overweight. She doesn't need anyone telling her that, or talking to her about that. Instead, she needs to see her parents being healthy, so she knows how. She just might surprise you.",['https://qph.cf2.quoracdn.net/main-thumb-130651078-50-nnlanpvtejtgriihtwgsbgjecvexheir.jpeg']
What are practical Indian healthy food swaps?,These are a few recipes where regular Indian ingredients are replaced with healthier ingredients,['https://qsf.cf2.quoracdn.net/-4-images.new_grid.profile_default.png-26-688c79556f251aa0.png']
Why is healthy food expensive?,"A few reasons. One, what you are labeling as unhealthy is more efficiently mass produced than some of the other things you mentioned. It takes more to grow organic than not. It takes more to serve fresh than with preservatives. Two, demand. Industries have found ""healthy eaters"" will pay a premium to eat ""better food,"" so if they market their food as healthier they can charge more for about equal effort and suffer no loss. You have bought into the hype. Avoiding trans fat is good so the oil swap is smart. The white bread thing is a marketing gimmick going back a hundred years switching back and forth about whether white or wheat is healthier for various reasons. The organic thing is pure marketing.",['https://qph.cf2.quoracdn.net/main-thumb-31030660-50-satifypbkddokrwombnetbcrgkgzyzzk.jpeg']
What foods are good for losing weight?,"In case you are still looking for foods that are good, healthy and give you sufficient variety in your diet, here is a detailed and informative article that I wrote with Amit Abhishek Raj: 23 Best Foods for Weight loss in 2018 My answer on a good diet for weight loss: Apurva Chanana's answer to What is the best Indian diet for weight loss? And, I have to thank Zeeshan for motivating me when I hit a slump in my fitness plan recently. So, to wrap it up, do not count calories, make your portions smaller, eat slowly and swap snacks for fruits/nuts: The easiest way to cut down unwanted fats. Eat local, eat fresh, pack in a lot of fiber and protein. Do not go hungry– and get moving. Above all, stay focused, be disciplined and keep your eyes on the goal. You can write down your queries in the comments section below. Happy reading- stay fit, stay focused. Apurva Chanana",['https://qph.cf2.quoracdn.net/main-thumb-166238933-50-hrgsucvczoqalpfcgjruhcvskvqdyyii.jpeg']
What are some healthy food swaps?,"Upvote If You Liked 👍 And yeah, replacing beer with red wine doesn’t mean you should be drinking wine all the time. Excessive intake is always bad for your health.","['https://qph.cf2.quoracdn.net/main-thumb-364529481-50-otzgsovwqpvjaskiydjqtakrysmtdjzn.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-1de10988569fcacdddc6defa5b4b9348-pjlq']"
If I eat 1200 calories but burn about 400-500 calories a day is that good for weight loss? I am 27 and about 150 lbs,"Yes. It is a good plan for Weight loss. Just make sure you have healthy food habits, good sleep, and drink lots of water. Here are few tips that might be useful. I myslef tried it and lost 20kg in 4months. Hey here are few tips: Swap sugar with honey n jaggery Swap maida with wheat or multigrain flour Have 10-12 glass of water daily Have 8hours of sleep Belive in yourself. Being consistent on your diet and exercise is a big stepping stone in weight loss journey. U can try Intermittent fasting method also. Which is very useful and it helped me to loose a lot of weight. Good luck👍🏻❤️",['https://qph.cf2.quoracdn.net/main-thumb-1275284485-50-gaqnnvrvuqxnwrrejhyggbflnwkqqmxr.jpeg']
What are some of your favorite healthy food swaps/alternatives (e.g. baked sweet potato fries instead of french fries)?,"My favorite would be: Rice with cauliflower rice and I have a great recipe here: Fries with roasted sweet potato, burger with open face burger and here is the recipe: Ice cream with frozen banana and cottage cheese: Hopefully this helps :-)",['https://qph.cf2.quoracdn.net/main-thumb-80459403-50-xmtqacottzjdhaqwijmfyhoxaqeklywn.jpeg']
How can I feel healthier in the future?,7 Things To Do Now For A Healthier Future,"['https://qph.cf2.quoracdn.net/main-thumb-1232400692-50-iyipxquzsxgfzkgldytpfhxdqagggnbs.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-e35d4c0938d3f3a2130e732736013ed2-lq']"
"What are some easy and fun ways to lose weight without counting your calories, carbs, etc.?","Hello there! 🌟 Losing weight can be a fun and enjoyable journey without the need to obsessively count calories, carbs, and the like. Here are some easy and exciting ways to shed those extra pounds while focusing on your well-being: The key is to find what works for you and make it an enjoyable part of your lifestyle. Remember, weight loss should be a holistic journey that enhances your quality of life. 🌈✨ So, dive into these fun and exciting ways to achieve your weight loss goals without getting bogged down by strict rules and calorie counting. Your health and happiness should always come first! 💪💃🕺🌟🥳","['https://qph.cf2.quoracdn.net/main-thumb-ti-4515410-50-ixceyvjhgobbeqepakmlnixuyjheujsh.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-98b3bf88c6fa0ebcb4b4c48f3b128f70']"
What are some healthy food swaps to attain weight loss?,"Consuming the right set of food items is extremely necessary as eating unhealthy food for a long duration will cause obesity. Today, we will recommend 6 healthy food swaps that will help you keep extra calories at bay: Swap- Muffins and Cupcakes With- Oats with a handful of fresh fruits People having a sweet tooth often take a bite of a cupcake or muffins to satiate hunger pangs. Instead of these calorie, laden treats switch it for a bowl of oatmeal with cherries or strawberries. Swap- Fruit Flavored Yogurt With- Plain yogurt or curd with plenty of fruits Fruit-flavored yogurts are not only overpriced but also over-sweetened. Try to settle for the same portion of plain flavored yogurt. For the fruity flavors, feel free to toss as many fruits you like. With- Roasted peanut or popcorns or walnuts Chips are the most consumed snacks, especially among the youth. It is abundantly available in every mini to mega stores and in every proportion as well. Substitute the crunchy snacks with a handful of roasted peanut or popcorns, while walnuts would be an excellent substitute. Swap- Mayonnaise With- Mustard or hummus or homemade spread Let it be sandwich or burger, using some or the other spread is almost imminent. Instead of calorie-loaded mayonnaise, try out mustard and hummus, or at least a homemade spread using healthier substitutes. Swap- Full plate of pasta With- Half plate pasta tossed with half plate vegetables Though food like pasta and spaghetti should be restricted as much as possible, removing it altogether might be challenging, especially being so delicious. Instead, reduce the proportion by half and fill the other half with fresh vegetables to compensate for the amount. Swap- Cocktail/ Margarita With- Light beer Though substituting alcoholic beverage altogether with nutritious drinks like milk, buttermilk, and coconut water would have been excellent, we are focusing of swapping not transforming. Instead, replace cocktails or margarita etc. with a serving of light beer. By making these aforementioned food changes, you will be able to make significant changes","['https://qph.cf2.quoracdn.net/main-thumb-353878898-50-zftbktddsptcxavgudvwlbumswcmoqtd.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-7146c75be64027864f30f4fe9d06a08e-pjlq', 'https://qph.cf2.quoracdn.net/main-qimg-4a67c2c2f93f563b851caaa431e170c5-lq', 'https://qph.cf2.quoracdn.net/main-qimg-fdba016f24aed3e71c2778d7df56e574-lq', 'https://qph.cf2.quoracdn.net/main-qimg-86c5d2dd6c8de4c112f6d92ce7ae4c32-lq', 'https://qph.cf2.quoracdn.net/main-qimg-8c69807b8c82dad3ed2a8be83a4a7ce0-lq', 'https://qph.cf2.quoracdn.net/main-qimg-b38c89144000af18949813d52acdce7b-lq']"
What foods are good for your health?,"Healthy Eating Healthy eating is not about strict dietary limitations, staying unrealistically thin, or depriving yourself of the foods you love. Rather, it’s about feeling great, having more energy, improving your health, and stabilizing your mood. If you feel overwhelmed by all the conflicting nutrition and diet advice out there, you’re not alone. It seems that for every expert who tells you a certain food is good for you, you’ll find another saying exactly the opposite. But by using these simple tips, you can cut through the confusion and learn how to create a tasty, varied, and healthy diet that is as good for your mind as it is for your body. Moderation is key Key to any healthy diet is moderation. But what is moderation? In essence, it means eating only as much food as your body needs. You should feel satisfied at the end of a meal, but not stuffed. Moderation is also about balance. Despite what fad diets would have you believe, we all need a balance of protein, fat, fiber, carbohydrates, vitamins, and minerals to sustain a healthy body. Cut back on sugar Aside from portion size, perhaps the single biggest problem with the modern Western diet is the amount of added sugar in our food. As well as creating weight problems, too much sugar causes energy spikes and has been linked to diabetes, depression, and even an increase in suicidal behaviors in young people. Reducing the amount of candy and desserts you eat is only part of the solution as sugar is also hidden in foods such as bread, cereals, canned soups and vegetables, pasta sauce, margarine, instant mashed potatoes, frozen dinners, low-fat meals, fast food, and ketchup. Your body gets all it needs from sugar naturally occurring in food so all this added sugar just means a lot of empty calories. Eat plenty of colorful fruits and vegetables Fruits and vegetables are low in calories and nutrient dense, which means they are packed with vitamins, minerals, antioxidants, and fiber. Focus on eating the recommended daily minimum of five servings of fruit and vegetables and it will naturally fill you up and help you cut back on unhealthy foods. A serving is half a cup of raw fruit or veg or a small apple or banana, for example. Most of us need to double the amount we currently eat. To increase your intake, add berries to breakfast cereals, eat fruit for dessert, swap your usual side dish for a salad, and snack on vegetables such as carrots, snow peas, or cherry tomatoes instead of processed snack foods.","['https://qph.cf2.quoracdn.net/main-thumb-226021237-50-lczmmfcgvkadwxvgkoqkzftyydcrdpgl.jpeg', 'https://qph.cf2.quoracdn.net/main-qimg-889d1bb6acdf77321194b7a347c95ad2.webp']"
What are some cheap foods that are also healthy?,"It's easy: learn how to shop and learn how to cook. I'm going to tell you how to save a fortune and eat healthier as a by-product. Bear with me until the end. First, some context. I developed these methods over years of being a poor student and from my frugal parents. I cook all of our family dinners and each one typically only costs about £1 per person. First a few life hacks that will get you big savings with almost no effort required: Now for some examples. You could buy a tomato pasta sauce costing £1.49. Cheap and healthy yeah? It was on special offer, so you got a great deal. Wrong. Buy a tin of chopped tomatoes (30p) add some dried herbs/chili flakes/whatever (5p) and tomato puree (5p) and cook it on the hob for 10 minutes. There. Healthier and cheaper. Tastier too. The tinned tomatoes and herbs are also flexible. Fancy Mexican instead of Italian? Add sliced chilis, paprika, kidney beans (20p) and cumin. Boom. Different meal. The most expensive components of a meal are usually alcoholic drinks and meat/fish/seafood. A bottle of wine is say £5 and meat costs perhaps £5–15 per kilo (half that for cost per lb). Swap these out: drink beer or cider instead (£1.49 a bottle) and drink it by the glass, like wine. You'll drink a lot less a to boot, which is healthier. Consider changing to a cheaper meat. For example, if some diced beef costs £10 per kilo, consider swapping it for chicken fillets at £6 per kilo. You could go further and reduce the cost and meat content by replacing some/all of it with other cheaper protein like eggs, mushrooms, soya or nuts. Mushrooms only cost about £2 per kilo and are very nutritious, for example. Bulk out your meals with vegetables. This makes each meal portion both cheaper and healthier. 50% of each meal should be vegetables. No, potatoes don't count. Here's a full example of the power of this approach. The savings in time and money are enormous: Spaghetti bolegnese (my favourite) Meal out: Garlic bread £5, spaghetti bolegnese £10, glass of wine, £7 Total cost per portion: £22 Taste: 9/10 Heath: 7/10 Lazy shopping and cooking: Fresh garlic bread £1, ready meal spaghetti bolegnese £4, 1/3 bottle of wine £2 Total cost per portion: £7 Taste: 4/10 Heath: 3/10 Normal shopping and cooking: Frozen garlic bread 50p, beef mince 50p, 1/2 an onion (from a pack of 3) 25p, brand name spaghetti bolegnese sauce £1.50, brand name spaghetti 15p, grated cheese (from a bag) 20p, 1/3 bottle of wine £2 Total cost per portion: £4.10 Taste: 6/10 Heath: 6/10 Healthy and cheap shopping and cooking: French bread 20p, butter 5p, garlic 5p (for home made garlic bread - much healthier and nicer), beef mince (bigger pack, cheaper cost per kilo) 30p, 1/4 onion (loose) 10p, tins of chopped tomatoes 10p, herbs 5p, peppers 10p, mushrooms (loose) 10p, own brand spaghetti 5p, cheese (grated at home) 10p, 1 bottle of beer £1.50 Total cost per portion: £2.65 and most of that is the beer. £1.15 is the food cost per portion. Taste: 9/10 Heath: 9/10 Simple changes lead to big savings over time. My friends always wonder how I have money when they have none; I know how to shop and I make our meals from scratch. Those £ saved every day all add up over time. Just £1 saving a day is £365 a year. Imagine how much you could save…",['https://qph.cf2.quoracdn.net/main-thumb-24114277-50-nqnoyorbylbcuwcalpwolifuibxreucg.jpeg']
What are some healthy food swaps to lower blood sugar?,The answer is pretty much always going to be leafy green vegetables and higher fiber instead of lower fiber choices. No added sugars. Fairlife milk or Ripple milk alternative.,['https://qph.cf2.quoracdn.net/main-thumb-78493210-50-qkoclojqchgywepamgpyrmbayyakalwb.jpeg']
